How much motion sickness did you experience during the test?,"How much discomfort (headache, tiredness) did you experience during the test?",Were there any other symptoms you experienced that negatively affected your experience in the test?,"If there were any symptoms mentioned in the previous question, how severe were they?",Rate how applicable the following statements are to your experience [Somehow I felt that the virtual world surrounded me.],Rate how applicable the following statements are to your experience [I felt like I was just perceiving pictures.],"Rate how applicable the following statements are to your experience [In the computer generated world I had a sense of ""being there""]",Rate how applicable the following statements are to your experience [I felt present in the virtual space.],"Rate how applicable the following statements are to your experience [I had a sense of acting in the virtual space, rather than operating something from outside.]",Rate how applicable the following statements are to your experience [I was aware of the real world surrounding while navigating in the virtual world?],Rate how applicable the following statements are to your experience [I still paid attention to the real environment.],Rate how applicable the following statements are to your experience [I was completely captivated by the virtual world.],Rate how applicable the following statements are to your experience [The virtual world seemed real to me],Rate how applicable the following statements are to your experience [My experience in the virtual environment seemed consistent with my real world experience],Rate how applicable the following statements are to your experience [The virtual world seemed more realistic than the real world.],Rate how applicable the following statements are to your experience [Movement in the virtual world felt natural],Rate how applicable the following statements are to your experience [I don’t notice time passing in the virtual world],Rate how applicable the following statements are to your experience [I am absorbed by what I am doing],Rate how applicable the following statements are to your experience [It is easy to translate my thoughts into actions in the virtual world],Rate how applicable the following statements are to your experience [I have no problem concentrating],Rate how applicable the following statements are to your experience [I did not feel hindered in the virtual world],Rate how applicable the following statements are to your experience [I feel just the right amount of challenge],Rate how applicable the following statements are to your experience [I knew what to do at each step of the way],Rate how applicable the following statements are to your experience [I feel that I have everything under control.],Is there any other feedback you wish to provide about the experience?
4,3,None,,Somewhat applicable,Quite applicable,Somewhat applicable,Somewhat applicable,Quite applicable,A little applicable,A little applicable,A little applicable,A little applicable,Somewhat applicable,A little applicable,A little applicable,Somewhat applicable,A little applicable,A little applicable,A little applicable,A little applicable,Somewhat applicable,Somewhat applicable,A little applicable,Takes too long to move using the teleportation. Difficult to catch fruits because of it
2,2,None,,Quite applicable,Somewhat applicable,Quite applicable,Quite applicable,Quite applicable,A little applicable,A little applicable,Somewhat applicable,Somewhat applicable,Somewhat applicable,Somewhat applicable,A little applicable,Somewhat applicable,A little applicable,Somewhat applicable,Somewhat applicable,A little applicable,Somewhat applicable,Quite applicable,Somewhat applicable,Moving around takes a long time and I miss a lot of fruits because of it
3,4,nope,,Very applicable,A little applicable,Quite applicable,Quite applicable,Quite applicable,Somewhat applicable,A little applicable,Quite applicable,A little applicable,Quite applicable,Not applicable,Not applicable,Quite applicable,Quite applicable,Quite applicable,Quite applicable,Quite applicable,Somewhat applicable,Quite applicable,Very applicable,
3,5,Slight giddiness from looking up for the fruits ,4,Very applicable,Not applicable,Quite applicable,Quite applicable,Somewhat applicable,Quite applicable,A little applicable,Somewhat applicable,Somewhat applicable,Quite applicable,A little applicable,Quite applicable,A little applicable,Somewhat applicable,Somewhat applicable,Quite applicable,Quite applicable,A little applicable,Very applicable,Very applicable,
3,1,no,,A little applicable,Not applicable,A little applicable,Somewhat applicable,A little applicable,Quite applicable,Very applicable,A little applicable,A little applicable,Quite applicable,Not applicable,Somewhat applicable,A little applicable,Not applicable,Very applicable,Very applicable,Very applicable,Very applicable,Very applicable,Very applicable,i don't even need to move the plate can get free points;)
1,1,no,,A little applicable,Not applicable,A little applicable,Not applicable,A little applicable,Very applicable,Very applicable,A little applicable,Quite applicable,Somewhat applicable,Not applicable,Somewhat applicable,A little applicable,Not applicable,Quite applicable,Very applicable,Quite applicable,Very applicable,Very applicable,Very applicable,free points - fruits auto land on the plate at start 🤔
2,5,Neck pain from looking up,4,Quite applicable,Somewhat applicable,Quite applicable,Quite applicable,Quite applicable,A little applicable,A little applicable,Somewhat applicable,Quite applicable,Somewhat applicable,Somewhat applicable,Somewhat applicable,Quite applicable,Quite applicable,Quite applicable,Somewhat applicable,Somewhat applicable,Somewhat applicable,Quite applicable,Quite applicable,None
2,2,no,,A little applicable,Not applicable,Somewhat applicable,A little applicable,A little applicable,Quite applicable,Quite applicable,Somewhat applicable,Somewhat applicable,Somewhat applicable,A little applicable,Somewhat applicable,A little applicable,Not applicable,Quite applicable,Quite applicable,Quite applicable,Somewhat applicable,Quite applicable,Very applicable,catch the fruits quite funn
3,1,no,,A little applicable,Not applicable,Somewhat applicable,A little applicable,A little applicable,Quite applicable,Quite applicable,Not applicable,Somewhat applicable,Somewhat applicable,Not applicable,Somewhat applicable,A little applicable,Not applicable,Somewhat applicable,Quite applicable,Somewhat applicable,Somewhat applicable,Very applicable,Somewhat applicable,free points not bad👍
2,1,no,,A little applicable,Not applicable,Somewhat applicable,A little applicable,A little applicable,Quite applicable,Very applicable,Not applicable,A little applicable,Quite applicable,A little applicable,Quite applicable,A little applicable,A little applicable,Quite applicable,Quite applicable,Quite applicable,Quite applicable,Quite applicable,Quite applicable,scoring system behaves weird also..
